date,ticker,entry_price,exit_price,amount
1970-05-22,CORN FUTURE       Jul23,"Dates
1970-03-26    104.903957
Name: CORN FUTURE       Jul23, dtype: float64",112.58248902190705,-0.0
1970-05-22,SUGAR #11 (WORLD) Jul23,"Dates
1970-03-26    105.809014
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",107.79910328010695,-0.0
1970-05-22,SOYBEAN FUTURE    Jul23,"Dates
1970-03-26    105.345968
Name: SOYBEAN FUTURE    Jul23, dtype: float64",110.31646701233674,-0.0
1970-05-22,COCOA FUTURE      Jul23,"Dates
1970-03-26    63.737836
Name: COCOA FUTURE      Jul23, dtype: float64",54.636519748139655,-0.0
1970-05-22,LIVE CATTLE FUTR  Aug23,139.10307261092612,,-917129.978453927
1970-05-22,COTTON NO.2 FUTR  Jul23,70.51585037894213,,0.0
1970-05-22,CORN FUTURE       Jul23,112.58248902190705,,0.0
1970-05-22,SUGAR #11 (WORLD) Jul23,107.79910328010695,,-0.0
1970-05-22,SOYBEAN FUTURE    Jul23,110.31646701233674,,0.0
1970-05-22,COCOA FUTURE      Jul23,54.636519748139655,,0.0
1970-05-26,LIVE CATTLE FUTR  Aug23,"Dates
1970-05-22    139.103073
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",135.25305410122172,-917129.978453927
1970-05-26,COTTON NO.2 FUTR  Jul23,"Dates
1970-05-22    70.51585
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",70.84997147746711,0.0
1970-05-26,CORN FUTURE       Jul23,"Dates
1970-05-22    112.582489
Name: CORN FUTURE       Jul23, dtype: float64",111.61592620759015,0.0
1970-05-26,SUGAR #11 (WORLD) Jul23,"Dates
1970-05-22    107.799103
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",110.99268465350426,-0.0
1970-05-26,SOYBEAN FUTURE    Jul23,"Dates
1970-05-22    110.316467
Name: SOYBEAN FUTURE    Jul23, dtype: float64",109.6012873234399,0.0
1970-05-26,COCOA FUTURE      Jul23,"Dates
1970-05-22    54.63652
Name: COCOA FUTURE      Jul23, dtype: float64",53.54894104178591,0.0
1970-05-26,SUGAR #11 (WORLD) Jul23,110.99268465350426,,-1755738.3287227964
1970-05-26,LIVE CATTLE FUTR  Aug23,135.25305410122172,,-0.0
1970-05-26,COTTON NO.2 FUTR  Jul23,70.84997147746711,,0.0
1970-05-26,CORN FUTURE       Jul23,111.61592620759015,,0.0
1970-05-26,SOYBEAN FUTURE    Jul23,109.6012873234399,,0.0
1970-05-26,COCOA FUTURE      Jul23,53.54894104178591,,0.0
1970-05-28,SUGAR #11 (WORLD) Jul23,"Dates
1970-05-26    110.992685
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",110.70557696845746,-1755738.3287227964
1970-05-28,LIVE CATTLE FUTR  Aug23,"Dates
1970-05-26    135.253054
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",137.8602781744144,-0.0
1970-05-28,COTTON NO.2 FUTR  Jul23,"Dates
1970-05-26    70.849971
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",71.8360361828701,0.0
1970-05-28,CORN FUTURE       Jul23,"Dates
1970-05-26    111.615926
Name: CORN FUTURE       Jul23, dtype: float64",111.83180825748833,0.0
1970-05-28,SOYBEAN FUTURE    Jul23,"Dates
1970-05-26    109.601287
Name: SOYBEAN FUTURE    Jul23, dtype: float64",110.11979259789011,0.0
1970-05-28,COCOA FUTURE      Jul23,"Dates
1970-05-26    53.548941
Name: COCOA FUTURE      Jul23, dtype: float64",56.496851745850016,0.0
1970-05-28,WHEAT FUTURE(CBT) Jul23,107.35164095593758,,2878.0854438852493
1970-05-28,SUGAR #11 (WORLD) Jul23,110.70557696845746,,-0.0
1970-05-28,LIVE CATTLE FUTR  Aug23,137.8602781744144,,0.0
1970-05-28,COTTON NO.2 FUTR  Jul23,71.8360361828701,,0.0
1970-05-28,CORN FUTURE       Jul23,111.83180825748833,,-0.0
1970-05-28,SOYBEAN FUTURE    Jul23,110.11979259789011,,-0.0
1970-05-28,COCOA FUTURE      Jul23,56.496851745850016,,0.0
1970-06-08,WHEAT FUTURE(CBT) Jul23,"Dates
1970-05-28    107.351641
Name: WHEAT FUTURE(CBT) Jul23, dtype: float64",107.55090460417787,2878.0854438852493
1970-06-08,SUGAR #11 (WORLD) Jul23,"Dates
1970-05-28    110.705577
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",109.83245496735621,-0.0
1970-06-08,LIVE CATTLE FUTR  Aug23,"Dates
1970-05-28    137.860278
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",139.89634565550804,0.0
1970-06-08,COTTON NO.2 FUTR  Jul23,"Dates
1970-05-28    71.836036
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",70.48325319859823,0.0
1970-06-08,CORN FUTURE       Jul23,"Dates
1970-05-28    111.831808
Name: CORN FUTURE       Jul23, dtype: float64",112.58248902190705,-0.0
